component,type,name,weight
2,gene,Cre06.g263357,0.0899595779934773
2,gene,Cre06.g275950,0.1984238635106328
2,gene,Cre06.g278093,0.0243970089866664
2,gene,Cre06.g278195,0.0132240047117998
2,gene,Cre06.g278251,0.0355742155579634
2,gene,Cre06.g281050,0.1798840315914942
2,gene,Cre07.g315850,0.0633946100482998
2,gene,Cre07.g329300,0.0227823258798391
2,gene,Cre07.g339900,0.014466140208497
2,gene,Cre07.g352250,0.0474703634667504
2,gene,Cre08.g358571,0.0640195846228706
2,gene,Cre08.g372100,0.0075144114683605
2,gene,Cre08.g374450,0.0414294735208887
2,gene,Cre09.g386850,0.0496596357709394
2,gene,Cre09.g387400,0.0050323106166546
2,gene,Cre09.g392867,0.0214521899977945
2,gene,Cre09.g397734,0.0234779568108698
2,gene,Cre09.g399663,0.0264616216988424
2,gene,Cre09.g400849,0.0635880540129869
2,gene,Cre09.g412600,0.0423979044617438
2,gene,Cre10.g427550,0.0356301158797941
2,gene,Cre10.g428600,0.0180235191970841
2,gene,Cre10.g431250,0.0076915564219682
2,gene,Cre10.g432600,0.0222124868500471
2,gene,Cre10.g433100,0.2440942793760611
2,gene,Cre10.g434850,0.0836838380927022
2,gene,Cre10.g436000,0.1375667133409963
2,gene,Cre10.g436150,0.2376410376572638
2,gene,Cre10.g436200,0.2376410376572638
2,gene,Cre10.g438750,0.0821039588641375
2,gene,Cre10.g438783,0.0004185229696643
2,gene,Cre10.g445800,0.0268711367089425
2,gene,Cre10.g451752,0.2188558021693265
2,gene,Cre10.g453050,0.0072189507875118
2,gene,Cre10.g453900,0.0743001416204843
2,gene,Cre10.g461700,0.2033216312268248
2,gene,Cre11.g467690,0.0963255465467913
2,gene,Cre11.g467741,0.0751036300506104
2,gene,Cre11.g467756,0.0474718537060801
2,gene,Cre12.g488400,0.0572656078854584
2,gene,Cre12.g489250,0.2276918079995489
2,gene,Cre12.g489300,0.2276918079995489
2,gene,Cre12.g495250,0.0099639004732106
2,gene,Cre12.g535050,0.0345760964090532
2,gene,Cre12.g538550,0.0321901697802989
2,gene,Cre12.g538850,0.0803651387673677
2,gene,Cre12.g554400,0.0599749191489687
2,gene,Cre13.g565150,0.016068317271236
2,gene,Cre13.g573150,0.0124200475799836
2,gene,Cre13.g573450,0.0399403348413928
2,gene,Cre13.g573500,0.0678745150122374
2,gene,Cre13.g581850,0.0427746860155416
2,gene,Cre13.g581900,0.0427746860155416
2,gene,Cre13.g588150,0.0283289942423925
2,gene,Cre13.g588950,0.0101981427923208
2,gene,Cre13.g602700,0.0749026083013855
2,gene,Cre14.g626350,0.0122736597552209
2,gene,Cre14.g626400,0.0256263507923839
2,gene,Cre16.g657450,0.0119489510799368
2,gene,Cre16.g664400,0.0348442968564614
2,gene,Cre16.g667900,0.0403111188948792
2,gene,Cre16.g676869,0.122116242589918
2,gene,Cre16.g683350,0.0826865362047462
2,gene,Cre16.g685451,0.2494339261193213
2,gene,Cre17.g716400,0.0496001305336177
2,gene,Cre17.g717200,0.0696662900078756
2,gene,Cre17.g741200,0.0023555922610894
2,gene,Cre17.g746397,0.2280109230577675
2,gene,Cre24.g755447,0.014096186389729
2,gene,Cre24.g755747,0.0174054799818481
3,light_regime,1min-1min,0.0
3,light_regime,30s-30s,0.0
3,light_regime,20h_HL,1.0
3,light_regime,20h_ML,0.0
3,light_regime,2h-2h,0.0
3,light_regime,10min-10min,0.0
3,light_regime,5min-5min,0.0
3,light_regime,1min-5min,0.0
3,gene,Cre01.g012150,0.0150408074125107
3,gene,Cre01.g012850,0.0088654127633982
3,gene,Cre01.g021550,0.0808990903447443
3,gene,Cre01.g030750,0.0728600523430206
3,gene,Cre01.g032850,0.007179029800158
3,gene,Cre02.g076987,0.0419577042325615
3,gene,Cre02.g080900,0.0371099709683318
3,gene,Cre02.g089237,0.0253129395262376
3,gene,Cre02.g090100,0.0264590331637138
3,gene,Cre02.g095058,0.0317406670803645
3,gene,Cre02.g095081,0.1079174899847609
3,gene,Cre02.g095115,0.1720949651268028
3,gene,Cre02.g095137,0.0642745072529628
3,gene,Cre02.g098750,0.0424179749595694
3,gene,Cre02.g108500,0.1173840789048627
3,gene,Cre03.g153400,0.0879216012451204
3,gene,Cre03.g174200,0.0099091882486369
3,gene,Cre03.g176961,0.1160484335947151
3,gene,Cre03.g183150,0.0655922064656902
3,gene,Cre03.g203150,0.0846031093483993
3,gene,Cre03.g205428,0.0013201767546142
3,gene,Cre04.g213652,0.3083465630511907
3,gene,Cre04.g215800,0.136416400935031
3,gene,Cre04.g217935,0.0831485636858853
3,gene,Cre04.g222600,0.0026631388622238
3,gene,Cre04.g224200,0.0183237082617775
3,gene,Cre04.g224700,0.0453354630866808
3,gene,Cre04.g229163,0.2256774093238102
3,gene,Cre05.g236000,0.1866960792378205
3,gene,Cre05.g243802,0.0072275747631574
3,gene,Cre05.g248250,0.1654767046185695
3,gene,Cre06.g251050,0.071163840001183
